id,left,top,right,bottom,GridArea,SlumArea,NUMHospita,RoadArea,PopDensmea,NDVImean,PercBuiltU,Imperperc,NTLmean
2,8101383.973480461165309,2184548.496106089558452,8103383.973480461165309,2182548.496106089558452,3546814.132459405343980,109529.179,0.000000000000000,55564.043,236.153035799662263,0.154372112527278,1.678,1.183,1.9265806058702
4,8101383.973480461165309,2180548.496106089558452,8103383.973480461165309,2178548.496106089558452,3548261.860161618329585,111461.299,0.000000000000000,59953.447,230.500661905529427,0.112171656987057,2.751,2.862,3.03328479534024
8,8101383.973480461165309,2172548.496106089558452,8103383.973480461165309,2170548.496106089558452,3551151.682331670075655,269795.498,0.000000000000000,77486.900,191.621641433715808,0.014117336762056,10.645,11.585,5.24412249356224
29,8103383.973480461165309,2176548.496106089558452,8105383.973480461165309,2174548.496106089558452,3549707.711369837168604,295840.042,1.000000000000000,100628.722,125.000631332397461,0.192553929989281,6.755,9.572,5.24292634760512
31,8103383.973480461165309,2172548.496106089558452,8105383.973480461165309,2170548.496106089558452,3551151.682331670075655,142180.873,2.000000000000000,134442.454,224.801985716208435,0.094700846836913,19.341,15.762,9.83801032300161
42,8103383.973480461165309,2150548.496106089558452,8105383.973480461165309,2148548.496106089558452,3559059.745523396879435,16316.384,12.000000000000000,185721.822,262.878840902577281,0.079772343750932,20.302,16.286,19.9521141997026
45,8103383.973480461165309,2144548.496106089558452,8105383.973480461165309,2142548.496106089558452,3561206.517051266971976,12761.950,1.000000000000000,177470.336,157.328120154303463,0.046654098499157,13.680,4.189,7.26381922435576
49,8105383.973480461165309,2182548.496106089558452,8107383.973480461165309,2180548.496106089558452,3547538.230635135434568,42567.517,4.000000000000000,177821.049,247.745125627748052,0.143487052389658,22.513,18.757,11.8620944846964
50,8105383.973480461165309,2180548.496106089558452,8107383.973480461165309,2178548.496106089558452,3548261.860161618329585,207933.740,13.000000000000000,346628.259,284.516494086675721,0.153088568643289,48.040,34.222,18.3549574113228
51,8105383.973480461165309,2178548.496106089558452,8107383.973480461165309,2176548.496106089558452,3548985.020563507452607,542569.115,14.000000000000000,285095.300,302.696352850530559,0.160020819320937,43.455,42.942,19.7490624929156
