id,GridArea,SlumArea,NUMHospita,RoadArea,PopDensmea,NDVImean,PercBuiltU,Imperperc,NTLmean
2,3546814.132,109529.179,0,55564.043,236.1530358,0.154372113,1.678,1.183,1.926580606
4,3548261.86,111461.299,0,59953.447,230.5006619,0.112171657,2.751,2.862,3.033284795
8,3551151.682,269795.498,0,77486.9,191.6216414,0.014117337,10.645,11.585,5.244122494
29,3549707.711,295840.042,1,100628.722,125.0006313,0.19255393,6.755,9.572,5.242926348
31,3551151.682,142180.873,2,134442.454,224.8019857,0.094700847,19.341,15.762,9.838010323
42,3559059.746,16316.384,12,185721.822,262.8788409,0.079772344,20.302,16.286,19.9521142
45,3561206.517,12761.95,1,177470.336,157.3281202,0.046654098,13.68,4.189,7.263819224
49,3547538.231,42567.517,4,177821.049,247.7451256,0.143487052,22.513,18.757,11.86209448
50,3548261.86,207933.74,13,346628.259,284.5164941,0.153088569,48.04,34.222,18.35495741
51,3548985.021,542569.115,14,285095.3,302.6963529,0.160020819,43.455,42.942,19.74906249
54,3551151.682,232098.583,13,315800.068,326.9468233,0.166572221,42.468,21.606,21.65889476
55,3551872.962,79254.585,18,181609.207,308.0659219,0.098284996,29.8,22.003,16.47678951
57,3553314.105,45925.091,9,37504.063,249.8262438,-0.026284235,7.633,9.704,9.664995154
58,3554033.968,132113.468,9,162955.262,284.7765061,0.027041947,22.563,20.344,12.87556593
59,3554753.359,14687.215,7,172689.566,293.8065965,0.040255987,22.401,14.095,16.31235675
62,3556908.689,74982.546,13,292892.774,341.4907972,0.105925468,47.591,43.947,31.01763796
63,3557626.183,129615.239,12,235690.014,336.371754,0.155294777,41.487,36.05,27.46332592
64,3558343.202,35234.547,28,393220.866,349.9083187,0.127573892,50.736,61.159,36.32930068
65,3559059.746,6713.392,22,392856.736,348.5937897,0.061536539,50.426,70.056,33.2646768
67,3560491.403,114698.787,1,246240.839,258.1483716,0.05312389,30.602,23.106,21.22234286
68,3561206.517,80671.968,1,134106.8,209.337614,0.01490255,12.49,8.871,11.36925887
72,3547538.231,16080.688,29,341690.121,314.1210368,0.178675145,39.714,21.161,22.64714789
73,3548261.86,521293.425,38,356488.797,396.2799976,0.133484879,49.18,48.484,27.55406482
74,3548985.021,215839.517,55,345535.497,379.6665164,0.134471502,39.318,36.987,26.77900172
75,3549707.711,157930.596,39,346727.946,357.3489612,0.151501983,36.414,38.596,24.54037954
76,3550429.932,315493.836,21,387897.706,375.9285374,0.137063544,42.703,43.929,23.21452335
77,3551151.682,475242.528,31,353276.39,367.9784926,0.124085623,50.538,61.952,28.4735427
78,3551872.962,283677.516,37,329764.234,364.596331,0.15204732,44.873,46.487,27.46953812
79,3552593.769,129271.461,26,372968.57,352.3172624,0.139825132,52.516,44.095,28.71284333
81,3554033.968,24492.179,23,408239.579,366.0914733,0.121519993,55.637,57.542,31.79973511
82,3554753.359,131254.23,13,409982.316,347.7800892,0.126336906,51.256,54.148,34.36972738
84,3556190.72,1478.998,16,282762.415,347.6233583,0.104840008,45.411,42.808,30.56844881
86,3557626.183,96371.636,12,374596.372,365.9206615,0.136456159,55.83,51.577,28.47173992
88,3559059.746,,11,449290.616,344.8406716,0.088429602,60.403,77.73,35.75293623
89,3559775.813,,5,253295.55,321.7719329,0.053749985,49.265,42.228,34.13658963
90,3560491.403,12885.154,2,89328.242,265.7591836,-0.040376553,19.211,16.22,17.75869407
93,3546089.566,126203.486,10,195104.649,297.5091872,0.174584576,21.635,8.765,15.09614822
94,3546814.132,286265.269,40,350057.309,394.8465655,0.16039385,35.353,24.886,25.94138392
95,3547538.231,205205.014,49,303356.069,441.8018974,0.136865655,44.328,35.804,29.28620026
96,3548261.86,398275.155,34,292348.064,372.2816136,0.165295447,39.232,27.349,23.71838252
97,3548985.021,846986.629,48,312052.504,480.4082516,0.149473957,31.878,40.368,24.59577121
98,3549707.711,417515.009,39,334289.556,508.5936608,0.152753102,37.75,36.769,28.14758251
99,3550429.932,71359.954,16,230744.261,449.3032078,0.207332686,31.318,27.96,21.15253463
100,3551151.682,742440.984,25,264225.44,346.6160446,0.160048152,43.363,44.183,27.49551898
103,3553314.105,251679.891,15,225455.143,338.1446233,0.111691516,68.161,59.767,41.14314961
104,3554033.968,167315.504,11,320930.781,359.9652465,0.151884301,45.392,35.193,32.6292153
105,3554753.359,71174.351,12,259548.893,334.2312515,0.135888356,36.103,33.061,37.00641511
106,3555472.276,961516.488,17,545053.997,373.9206457,0.119539575,65.693,61.95,31.18893916
107,3556190.72,181859.595,8,403871.934,379.5489897,0.154871688,47.508,32.111,29.15761511
108,3556908.689,102381.058,3,292756.836,347.2794395,0.14697789,40.075,37.926,36.73823532
109,3557626.183,42409.022,4,190222.356,300.9679858,0.074758137,32.28,32.984,21.83853571
116,3546089.566,326809.963,8,209074.071,276.5298618,0.197160127,21.147,20.352,17.93810694
117,3546814.132,666442.504,22,172134.24,325.9255741,0.240057303,13.652,20.008,14.18854137
118,3547538.231,92079.921,23,186522.757,275.5471291,0.260101771,10.593,5.069,12.37025785
119,3548261.86,293654.826,13,297590.161,361.6182135,0.170354388,37.798,24.632,22.8577197
120,3548985.021,832469.66,12,213995.986,341.0231638,0.217192563,22.191,20.36,15.4520815
121,3549707.711,604813.7,7,355590.172,372.4286594,0.181823189,33.642,25.984,21.47078559
123,3551151.682,91535.115,5,130572.03,274.2883938,0.281969639,11.255,5.997,14.15387961
124,3551872.962,255449.913,9,330495.823,348.6814185,0.170335827,51.363,35.325,28.81819311
125,3552593.769,400973.213,19,355414.426,363.4807198,0.138829595,53.085,60.124,48.36395335
126,3553314.105,249035.948,21,157929.948,325.3560747,0.097115465,70.838,72.241,40.70395179
127,3554033.968,21469.782,19,341380.362,368.9162354,0.102210277,61.516,71.614,33.2341055
128,3554753.359,7741.961,22,291618.291,409.0016986,0.138423219,43.235,38.138,33.16356286
129,3555472.276,283711.278,11,257850.284,401.9387007,0.143742007,49.972,50.542,34.65234569
130,3556190.72,533687.294,2,247526.181,363.3952688,0.159050996,32.848,25.958,25.98057075
139,3546089.566,88649.314,0,54914.061,75.26774902,0.262157206,3.315,1.86,6.179454107
145,3550429.932,47353.326,0,173569.04,192.3558334,0.275063441,13.348,2.278,11.16163525
146,3551151.682,178615.941,0,130528.316,206.6808041,0.255786272,8.262,1.627,9.383939343
147,3551872.962,221457.198,4,213484.021,319.441753,0.181682868,24.802,24.532,25.01760974
148,3552593.769,449902.104,21,375545.9,377.5755299,0.128676706,55.955,62.283,27.41758462
149,3553314.105,1267216.129,51,323692.154,400.4500113,0.136262331,64.598,67.177,25.23669085
150,3554033.968,135889.279,55,351659.681,404.7327537,0.14919267,47.916,38.421,31.60051306
151,3554753.359,398499.687,48,341407.649,444.4176366,0.148444736,43.366,39.029,31.15055364
152,3555472.276,204393.129,21,294815.78,429.3582636,0.185475269,41.104,29.587,33.81030938
153,3556190.72,20438.803,1,184325.719,393.8993322,0.147269706,53.608,44.987,72.77732487
154,3556908.689,38004.164,0,138162.329,286.7037944,0.137436922,27.335,23.59,41.35601375
169,3551151.682,56566.112,4,111499.869,192.8931514,0.167004291,7.055,1.101,8.704414916
171,3552593.769,802823.979,11,261624.035,388.2164769,0.17390181,39.352,30.172,21.64623524
172,3553314.105,455272.599,34,396810.658,441.4905566,0.149876621,46.998,44.899,27.97140695
173,3554033.968,622728.784,48,366425.6,425.5300302,0.157614856,41.49,39.238,26.18588042
174,3554753.359,719162.063,36,371837.163,440.5366934,0.135149219,48.386,44.225,27.88428239
175,3555472.276,155507.401,13,254781.744,351.4437025,0.221455441,26.817,12.294,26.87616724
176,3556190.72,173050.193,1,104468.066,251.0670982,0.237591407,22.253,16.608,74.94668733
191,3550429.932,1072592.275,19,276317.877,317.9576956,0.172847575,45.384,23.762,15.15517286
192,3551151.682,798257.845,19,260942.094,376.7204752,0.174195637,42.266,21.569,17.52411165
193,3551872.962,521846.373,11,281608.71,400.6060432,0.177447499,40.416,31.907,22.14186233
194,3552593.769,73570.384,9,253400.776,399.6191718,0.192774299,30.547,16.41,18.80101318
196,3554033.968,546783.04,8,95015.89,316.3573091,0.17772538,14,27.746,12.58658206
197,3554753.359,1276280.595,7,326952.732,401.9954775,0.122371671,52.131,65.857,25.86885104
198,3555472.276,47102.447,0,227010.134,291.930486,0.226116779,29.237,2.487,22.55366132
211,3548261.86,608744.272,9,201291.126,225.4491912,0.227880122,21.19,14.558,17.30623797
212,3548985.021,205692.565,20,278665.63,314.0431304,0.197076761,38.802,21.751,21.96787089
213,3549707.711,88499.783,26,344635.31,387.6086502,0.169885684,40.416,18.431,22.18843455
214,3550429.932,211275.961,22,263428.201,404.5153411,0.169959368,43.75,24.979,20.39402017
215,3551151.682,273375.655,16,126065.937,299.6620985,0.194634321,13.58,6.426,10.31512413
216,3551872.962,116010.286,7,105854.628,260.3682013,0.155395931,10.576,8.743,10.86428232
220,3554753.359,195757.789,0,68355.286,256.8983364,0.115473186,10.736,10.574,12.23654677
221,3555472.276,405065.716,1,130219.524,213.1014896,0.169879247,15.991,17.397,11.4969355
235,3548985.021,145815.357,55,344503.015,309.4775639,0.149093116,36.201,26.807,30.29931999
236,3549707.711,132889.174,33,320823.836,392.1073128,0.171494523,34.77,19.239,24.0292883
