Slum_Percentage,Hospital_count,Population_density,NDVI,Built_up,Impervious_area,Nighttime_light,Road_density
3.088100332,0,236.1530358,0.154372113,1.678,1.183,1.926580606,1.566590211
3.141292931,0,230.5006619,0.112171657,2.751,2.862,3.033284795,1.689656777
7.59740845,0,191.6216414,0.014117337,10.645,11.585,5.244122494,2.182021691
8.334208505,1,125.0006313,0.19255393,6.755,9.572,5.242926348,2.834845294
4.003796112,2,224.8019857,0.094700847,19.341,15.762,9.838010323,3.785883173
0.458446477,12,262.8788409,0.079772344,20.302,16.286,19.9521142,5.218283347
0.35836029,1,157.3281202,0.046654098,13.68,4.189,7.263819224,4.983432866
1.199917076,4,247.7451256,0.143487052,22.513,18.757,11.86209448,5.012519596
5.860157683,13,284.5164941,0.153088569,48.04,34.222,18.35495741,9.768959357
15.28800803,14,302.6963529,0.160020819,43.455,42.942,19.74906249,8.033150277
6.535867903,13,326.9468233,0.166572221,42.468,21.606,21.65889476,8.892891553
2.231346274,18,308.0659219,0.098284996,29.8,22.003,16.47678951,5.113054689
1.29245796,9,249.8262438,-0.026284235,7.633,9.704,9.664995154,1.055467147
3.717282085,9,284.7765061,0.027041947,22.563,20.344,12.87556593,4.585078912
0.413171141,7,293.8065965,0.040255987,22.401,14.095,16.31235675,4.857990093
2.108081836,13,341.4907972,0.105925468,47.591,43.947,31.01763796,8.234475485
3.643306866,12,336.371754,0.155294777,41.487,36.05,27.46332592,6.624923527
0.990195296,28,349.9083187,0.127573892,50.736,61.159,36.32930068,11.05067285
0.188628247,22,348.5937897,0.061536539,50.426,70.056,33.2646768,11.03821695
3.22143137,1,258.1483716,0.05312389,30.602,23.106,21.22234286,6.915922863
2.265298786,1,209.337614,0.01490255,12.49,8.871,11.36925887,3.76576869
0.453291465,29,314.1210368,0.178675145,39.714,21.161,22.64714789,9.631753029
14.69151504,38,396.2799976,0.133484879,49.18,48.484,27.55406482,10.04685705
6.081725219,55,379.6665164,0.134471502,39.318,36.987,26.77900172,9.736177949
4.4491155,39,357.3489612,0.151501983,36.414,38.596,24.54037954,9.767788624
8.886074138,21,375.9285374,0.137063544,42.703,43.929,23.21452335,10.9253728
13.38277186,31,367.9784926,0.124085623,50.538,61.952,28.4735427,9.948220228
7.986702201,37,364.596331,0.15204732,44.873,46.487,27.46953812,9.284235038
3.638790962,26,352.3172624,0.139825132,52.516,44.095,28.71284333,10.4984863
